Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,target: energy_capacity
NUSA TENGGARA BARAT,2018,85.48,85.73,9.29,66.5,123868.02,2649.8,18572.32,690.26
NUSA TENGGARA TIMUR,2018,85.91,90.06,5.22,71.4,98930.19,4216.3,48718.1,505.02
KALIMANTAN BARAT,2018,88.84,90.04,6.38,78.54,194138.22,3619.7,147307.0,809.23
KALIMANTAN TENGAH,2018,75.24,92.06,2.03,74.91,138616.13,695.6,153564.5,617.68
KALIMANTAN SELATAN,2018,76.77,89.0,2.24,78.43,171684.06,2494.1,38744.23,675.89
KALIMANTAN TIMUR,2018,70.31,88.12,2.36,91.34,635498.68,1176.4,129066.64,1505.18
KALIMANTAN UTARA,2018,67.23,88.41,3.0,89.24,85548.94,3042.1,75467.7,249.43
SULAWESI UTARA,2018,77.65,84.51,0.59,75.23,119512.68,8819.5,13851.64,571.18
SULAWESI TENGAH,2018,84.32,89.25,2.09,66.38,167135.77,1359.2,11257.07,649.76
SULAWESI SELATAN,2018,83.61,82.75,5.65,81.53,461774.74,2663.7,61841.29,1874.2
SULAWESI TENGGARA,2018,84.43,88.75,3.56,74.99,118066.61,4362.0,46717.48,405.7
GORONTALO,2018,79.48,90.83,1.04,52.42,37731.39,5152.4,16787.18,229.51
SULAWESI BARAT,2018,86.85,90.76,4.9,63.48,43457.83,5437.2,38067.7,57.4
MALUKU,2018,80.09,87.44,1.13,68.02,43047.09,1768.5,46914.03,390.74
MALUKU UTARA,2018,83.87,91.15,1.55,61.98,36468.79,1235.7,31982.5,157.88
PAPUA BARAT,2018,69.19,90.43,3.11,72.03,79644.58,963.6,319036.05,267.51
PAPUA,2018,81.36,94.73,26.46,57.53,210600.57,3347.1,99671.63,525.64
INDONESIA,2018,80.02,86.85,3.96,79.35,14838756.0,266911.9,1913578.68,66514.31
