Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,num_rainy_days,target: energy_generation
SULAWESI TENGGARA,2017,84.78,89.72,4.26,72.91,107423.45,4309.2,46717.48,,25.73
GORONTALO,2017,80.45,91.7,1.49,46.3,34537.68,5077.7,16787.18,,96.53
SULAWESI BARAT,2017,88.98,92.12,5.37,58.98,39497.41,5360.3,38067.7,,0.0
MALUKU,2017,80.15,86.5,1.49,65.13,39881.55,1749.5,46914.03,,742.73
MALUKU UTARA,2017,86.83,91.04,2.11,61.81,32272.57,1218.8,31982.5,,126.03
PAPUA BARAT,2017,72.06,92.41,3.76,66.86,71785.93,941.4,319036.05,,1064.2
PAPUA,2017,81.0,95.4,22.62,55.73,188938.08,3300.2,99671.63,,522.52
INDONESIA,2017,79.61,87.06,4.15,77.84,13589825.7,264161.6,1913578.68,,275599.8
ACEH,2018,81.21,86.52,1.51,72.72,155910.98,5316.3,57956.0,,3001.78
SUMATERA UTARA,2018,68.32,87.86,1.52,84.66,741347.43,14639.4,72981.23,,12985.88
SUMATERA BARAT,2018,71.21,86.21,1.5,71.79,230367.22,5479.5,42012.89,,4396.18
RIAU,2018,69.9,90.74,1.56,89.9,752263.07,6835.1,87023.66,,5389.06
JAMBI,2018,83.64,90.01,2.82,81.09,207878.69,2241.6,8201.72,,730.0
SUMATERA SELATAN,2018,80.65,89.11,1.79,78.24,419392.16,3566.2,50058.16,,11019.15
BENGKULU,2018,83.39,91.68,2.22,80.33,66402.99,8497.2,91592.43,,2689.06
LAMPUNG,2018,87.89,90.9,2.45,86.24,332446.07,1451.1,16424.06,,5436.19
KEP. BANGKA BELITUNG,2018,85.91,89.25,2.81,88.08,73113.28,1971.8,19919.33,,1498.09
KEP. RIAU,2018,69.44,89.63,2.31,89.75,248822.23,8457.6,34623.8,,3380.7
DKI JAKARTA,2018,47.85,81.66,1.14,83.13,2592606.57,10504.1,664.01,,18177.98
JAWA BARAT,2018,77.71,85.9,2.56,80.85,1960627.65,49023.2,35377.76,,34017.57
JAWA TENGAH,2018,88.17,85.14,4.94,81.13,1268261.17,12714.3,9662.92,,46065.26
DI YOGYAKARTA,2018,76.54,80.53,4.66,80.58,129818.36,34552.5,32800.69,,3.32
JAWA TIMUR,2018,87.46,86.74,6.34,77.11,2188766.35,3868.6,3133.15,,49222.99
BANTEN,2018,81.33,86.61,2.68,81.48,613804.41,39744.8,47799.75,,53324.28
BALI,2018,71.75,91.01,5.82,78.65,233636.77,5045.7,5780.06,,3864.03
NUSA TENGGARA BARAT,2018,85.48,85.73,9.29,66.5,123868.02,2649.8,18572.32,,2541.46
NUSA TENGGARA TIMUR,2018,85.91,90.06,5.22,71.4,98930.19,4216.3,48718.1,,1311.55
KALIMANTAN BARAT,2018,88.84,90.04,6.38,78.54,194138.22,3619.7,147307.0,,3416.87
KALIMANTAN TENGAH,2018,75.24,92.06,2.03,74.91,138616.13,695.6,153564.5,,2627.62
KALIMANTAN SELATAN,2018,76.77,89.0,2.24,78.43,171684.06,2494.1,38744.23,,2882.67
KALIMANTAN TIMUR,2018,70.31,88.12,2.36,91.34,635498.68,1176.4,129066.64,,3908.24
KALIMANTAN UTARA,2018,67.23,88.41,3.0,89.24,85548.94,3042.1,75467.7,,619.17
SULAWESI UTARA,2018,77.65,84.51,0.59,75.23,119512.68,8819.5,13851.64,,2398.33
